# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:42:05 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,34,0:08.438.016,19.053.437 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 33 32 0D 17 45 45 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081532..EE................................…
1,,35,0:08.438.016,18.007.187 ms,,,05,01,   [19 IN-NAK],,,
1,,36,0:08.457.019,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,37,0:08.457.022,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 0F 33 30 35 30 38 31 35 33 32 0D 17 45 45 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0E 5B,,KABC.305081532..EE...............................…
1,,38,0:08.457.068,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,39,0:08.458.015,2.916 us,,,,,[1 SOF],,[Frame: 1967] ,
0,,40,0:08.458.019,50.750 us,64 B,,05,01,IN txn,41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,41,0:08.458.019,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,42,0:08.458.022,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6A 0F,,.ABC.............................................…
1,,43,0:08.458.068,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,44,0:08.459.016,717.102.895 ms,,,,,[718 SOF],,[Frames: 1968 - 637] ,
0,,45,0:09.176.119,50.750 us,64 B,,05,01,OUT txn,00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,46,0:09.176.119,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,47,0:09.176.122,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 DC,,.................................................…
1,,48,0:09.176.168,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,49,0:09.177.116,2.916 us,,,,,[1 SOF],,[Frame: 638] ,
0,,50,0:08.459.019,718.151.000 ms,64 B,,05,01,IN txn   [718 POLL],41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,51,0:08.459.019,717.156.145 ms,,,05,01,   [718 IN-NAK],,,
1,,52,0:09.177.119,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,53,0:09.177.122,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6B 33,,KABC.............................................…
1,,54,0:09.177.168,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,55,0:09.178.116,20.005.625 ms,,,,,[21 SOF],,[Frames: 639 - 659] ,
0,,56,0:09.198.122,50.708 us,64 B,,05,01,OUT txn,00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,57,0:09.198.122,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,58,0:09.198.125,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 47 DC,,K................................................…
1,,59,0:09.198.171,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,60,0:09.199.119,2.833 us,,,,,[1 SOF],,[Frame: 660] ,
0,,61,0:09.178.119,21.053.583 ms,64 B,,05,01,IN txn   [21 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,62,0:09.178.119,20.058.708 ms,,,05,01,   [21 IN-NAK],,,
1,,63,0:09.199.122,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,64,0:09.199.125,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,65,0:09.199.171,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,66,0:09.200.119,20.005.625 ms,,,,,[21 SOF],,[Frames: 661 - 681] ,
0,,67,0:09.220.125,50.750 us,64 B,,05,01,OUT txn,00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....W|...........................................…
1,,68,0:09.220.125,2.812 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,69,0:09.220.129,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0 C1,,.....W|..........................................…
1,,70,0:09.220.174,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,71,0:09.221.122,2.833 us,,,,,[1 SOF],,[Frame: 682] ,
0,,72,0:09.200.122,21.053.666 ms,64 B,,05,01,IN txn   [21 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,73,0:09.200.122,20.058.875 ms,,,05,01,   [21 IN-NAK],,,
1,,74,0:09.221.125,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,75,0:09.221.128,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,76,0:09.221.174,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,77,0:09.222.122,521.075.541 ms,,,,,[522 SOF],,[Frames: 683 - 1204] ,
