# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:46:47 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,34,0:08.300.078,19.053.395 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 32 34 0D 17 42 36 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081524..B6................................…
1,,35,0:08.300.078,18.007.104 ms,,,05,01,   [19 IN-NAK],,,
1,,36,0:08.319.080,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,37,0:08.319.083,45.500 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 0F 33 30 35 30 38 31 35 32 34 0D 17 42 36 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D 3F,,KABC.305081524..B6...............................…
1,,38,0:08.319.130,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,39,0:08.320.077,2.833 us,,,,,[1 SOF],,[Frame: 529] ,
0,,40,0:08.320.080,50.750 us,64 B,,05,01,IN txn,41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,41,0:08.320.080,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,42,0:08.320.084,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6A 0F,,.ABC.............................................…
1,,43,0:08.320.130,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,44,0:08.321.077,709.101.604 ms,,,,,[710 SOF],,[Frames: 530 - 1239] ,
0,,45,0:09.030.179,50.770 us,64 B,,05,01,OUT txn,00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,46,0:09.030.179,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,47,0:09.030.183,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 DC,,K................................................…
1,,48,0:09.030.229,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,49,0:09.031.176,2.833 us,,,,,[1 SOF],,[Frame: 1240] ,
0,,50,0:08.321.081,710.149.645 ms,64 B,,05,01,IN txn   [710 POLL],41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,51,0:08.321.081,709.154.854 ms,,,05,01,   [710 IN-NAK],,,
1,,52,0:09.031.179,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,53,0:09.031.183,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6B 33,,KABC.............................................…
1,,54,0:09.031.229,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,55,0:09.032.176,21.005.750 ms,,,,,[22 SOF],,[Frames: 1241 - 1262] ,
0,,56,0:09.053.183,50.770 us,64 B,,05,01,OUT txn,00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,57,0:09.053.183,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,58,0:09.053.186,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 47 DC,,.................................................…
1,,59,0:09.053.232,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,60,0:09.054.179,2.833 us,,,,,[1 SOF],,[Frame: 1263] ,
0,,61,0:09.032.180,22.053.812 ms,64 B,,05,01,IN txn   [22 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,62,0:09.032.180,21.058.979 ms,,,05,01,   [22 IN-NAK],,,
1,,63,0:09.054.183,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,64,0:09.054.186,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,65,0:09.054.232,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,66,0:09.055.179,19.005.458 ms,,,,,[20 SOF],,[Frames: 1264 - 1283] ,
0,,67,0:09.074.185,50.750 us,64 B,,05,01,OUT txn,00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....W|...........................................…
1,,68,0:09.074.185,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,69,0:09.074.189,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0 C1,,K....W|..........................................…
1,,70,0:09.074.235,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,71,0:09.075.182,2.833 us,,,,,[1 SOF],,[Frame: 1284] ,
0,,72,0:09.055.183,20.053.541 ms,64 B,,05,01,IN txn   [20 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,73,0:09.055.183,19.058.687 ms,,,05,01,   [20 IN-NAK],,,
1,,74,0:09.075.186,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,75,0:09.075.189,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,76,0:09.075.235,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,77,0:09.076.182,521.075.520 ms,,,,,[522 SOF],,[Frames: 1285 - 1806] ,
0,,78,0:09.597.258,50.770 us,64 B,,05,01,OUT txn,00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....Q|...........................................…
1,,79,0:09.597.258,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,80,0:09.597.262,45.520 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 49,,.....Q|..........................................…
1,,81,0:09.597.308,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,82,0:09.598.255,2.833 us,,,,,[1 SOF],,[Frame: 1807] ,
0,,83,0:09.076.186,522.123.479 ms,64 B,,05,01,IN txn   [522 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,84,0:09.076.186,521.128.770 ms,,,05,01,   [522 IN-NAK],,,
1,,85,0:09.598.258,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,86,0:09.598.262,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,87,0:09.598.308,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,88,0:09.599.255,520.075.270 ms,,,,,[521 SOF],,[Frames: 1808 - 280] ,
0,,89,0:10.119.331,50.770 us,64 B,,05,01,OUT txn,00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....1|...........................................…
1,,90,0:10.119.331,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,91,0:10.119.335,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8 49,,K....1|..........................................…
1,,92,0:10.119.380,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,93,0:10.120.328,341.050.354 ms,,,,,[342 SOF],,[Frames: 281 - 622] ,
0,,94,0:09.599.259,862.170.833 ms,64 B,,05,01,IN txn   [862 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,95,0:09.599.259,861.124.583 ms,,,05,01,   [862 IN-NAK],,,
1,,96,0:10.461.379,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,97,0:10.461.382,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,98,0:10.461.428,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,99,0:10.462.375,186.028.708 ms,,,,,[187 SOF],,[Frames: 623 - 809] ,
0,,100,0:10.648.405,50.770 us,64 B,,05,01,OUT txn,00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...!Q.665455.....................................…
1,,101,0:10.648.405,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,102,0:10.648.408,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 D1,,....!Q.665455....................................…
1,,103,0:10.648.454,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,104,0:10.462.379,1.999.283.145 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,105,0:10.649.402,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 810 - 761] [Periodic Timeout],
