# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:45:00 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
1,,41,0:24.359.804,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 30 30 2D 5E 43 33 36 38 34 37 7C 41 3D 31 5E 43 3D 34 31 5E 47 3D 65 6E 2C 65 6E 5C 65 73 5E 49 3D 30 32 30 30 5E 52 3D 30 5E 53 3D 30 5E 55 3D 30 5E 58 3D 30 37 30 30 37 30 30 37 FA A2,,.ABC<00-^C36847|A=1^C=41^G=en,en\es^I=0200^R=0^S=…
1,,42,0:24.359.851,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,43,0:24.360.798,19.005.479 ms,,,,,[20 SOF],,[Frames: 1023 - 1042] ,
0,,44,0:24.360.801,19.053.312 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31,,ABC<0070180130180250^Y=360126099054120054252099^Z…
1,,45,0:24.360.801,18.007.041 ms,,,05,01,   [19 IN-NAK],,,
1,,46,0:24.379.804,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,47,0:24.379.807,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 30 30 37 30 31 38 30 31 33 30 31 38 30 32 35 30 5E 59 3D 33 36 30 31 32 36 30 39 39 30 35 34 31 32 30 30 35 34 32 35 32 30 39 39 5E 5A 3D 31 7C 30 7C 7C 7C 7C 7C 7C 31 7C 32 30 31 68 3E,,KABC<0070180130180250^Y=360126099054120054252099^…
1,,48,0:24.379.853,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,49,0:24.380.801,19.005.479 ms,,,,,[20 SOF],,[Frames: 1043 - 1062] ,
0,,50,0:24.380.804,19.053.395 ms,64 B,,05,01,IN txn   [19 POLL],41 42 43 0F 33 30 35 30 38 31 35 30 39 0D 17 33 37 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC.305081509..37................................…
1,,51,0:24.380.804,18.007.270 ms,,,05,01,   [19 IN-NAK],,,
1,,52,0:24.399.807,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,53,0:24.399.810,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 0F 33 30 35 30 38 31 35 30 39 0D 17 33 37 0D 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1A FB,,.ABC.305081509..37...............................…
1,,54,0:24.399.856,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,55,0:24.400.804,2.833 us,,,,,[1 SOF],,[Frame: 1063] ,
0,,56,0:24.400.807,50.750 us,64 B,,05,01,IN txn,41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,57,0:24.400.807,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,58,0:24.400.810,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6A 0F,,KABC.............................................…
1,,59,0:24.400.856,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,60,0:24.401.804,715.102.500 ms,,,,,[716 SOF],,[Frames: 1064 - 1779] ,
0,,61,0:25.116.907,50.770 us,64 B,,05,01,OUT txn,00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,62,0:25.116.907,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,63,0:25.116.910,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 01 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 DC,,.................................................…
1,,64,0:25.116.956,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,65,0:25.117.903,2.833 us,,,,,[1 SOF],,[Frame: 1780] ,
0,,66,0:24.401.807,716.150.520 ms,64 B,,05,01,IN txn   [716 POLL],41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,67,0:24.401.807,715.155.729 ms,,,05,01,   [716 IN-NAK],,,
1,,68,0:25.117.907,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,69,0:25.117.910,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6B 33,,.ABC.............................................…
1,,70,0:25.117.956,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,71,0:25.118.904,20.005.583 ms,,,,,[21 SOF],,[Frames: 1781 - 1801] ,
0,,72,0:25.138.910,50.750 us,64 B,,05,01,OUT txn,00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,.................................................…
1,,73,0:25.138.910,2.812 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,74,0:25.138.913,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 01 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 47 DC,,K................................................…
1,,75,0:25.138.959,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,76,0:25.139.906,2.812 us,,,,,[1 SOF],,[Frame: 1802] ,
0,,77,0:25.118.907,21.053.666 ms,64 B,,05,01,IN txn   [21 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,78,0:25.118.907,20.058.833 ms,,,05,01,   [21 IN-NAK],,,
1,,79,0:25.139.910,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,80,0:25.139.913,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,81,0:25.139.959,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,82,0:25.140.907,20.005.687 ms,,,,,[21 SOF],,[Frames: 1803 - 1823] ,
0,,83,0:25.160.913,50.708 us,64 B,,05,01,OUT txn,00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....W|...........................................…
1,,84,0:25.160.913,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,85,0:25.160.916,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 02 57 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C0 C1,,.....W|..........................................…
1,,86,0:25.160.962,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,87,0:25.161.910,2.833 us,,,,,[1 SOF],,[Frame: 1824] ,
0,,88,0:25.140.910,21.053.604 ms,64 B,,05,01,IN txn   [21 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,89,0:25.140.910,20.058.770 ms,,,05,01,   [21 IN-NAK],,,
1,,90,0:25.161.913,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,91,0:25.161.916,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,92,0:25.161.962,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,93,0:25.162.910,521.075.437 ms,,,,,[522 SOF],,[Frames: 1825 - 298] ,
0,,94,0:25.683.986,50.770 us,64 B,,05,01,OUT txn,00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....Q|...........................................…
1,,95,0:25.683.986,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,96,0:25.683.989,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 49,,K....Q|..........................................…
1,,97,0:25.684.035,1.479 us,1 B,,05,01,   ACK packet,D2,,.
